     Angle, Det1Disc1,
      75.7,        23,
     75.75,        12,
      75.8,        16,
     75.85,        20,
      75.9,        20,
     75.95,        28,
        76,        39,
     76.05,        62,
      76.1,        64,
     76.15,        34,
      76.2,        27,
     76.25,        43,
      76.3,        42,
     76.35,        16,
      76.4,        19,
     76.45,        22,
      76.5,        13,
     76.55,        14,
      76.6,        20,
     76.65,        12,
      76.7,        20,
     76.75,        12,
      76.8,         8,
     76.85,        16,
      76.9,        11,
     76.95,        17,
        77,        11,
     77.05,        15,
      77.1,        13,
     77.15,        19,
      77.2,        17,
     77.25,         7,
      77.3,        12,
     77.35,        15,
      77.4,         8,
     77.45,        16,
      77.5,         9,
     77.55,        14,
      77.6,        10,
     77.65,        15,
      77.7,        15,
     77.75,        16,
      77.8,         9,
     77.85,         5,
      77.9,        13,
     77.95,        15,
        78,        14,
     78.05,        14,
      78.1,        12,
     78.15,        11,
      78.2,        12,
     78.25,        13,
      78.3,        12,
     78.35,         9,
      78.4,        10,
     78.45,        18,
      78.5,        12,
     78.55,        10,
      78.6,        13,
     78.65,        11,
      78.7,        14,
     78.75,        13,
      78.8,         9,
     78.85,        16,
      78.9,         5,
     78.95,        11,
        79,        11,
     79.05,        12,
      79.1,        18,
     79.15,        11,
      79.2,        15,
     79.25,        15,
      79.3,        10,
     79.35,        14,
      79.4,        12,
     79.45,        10,
      79.5,        11,
     79.55,        14,
      79.6,        13,
     79.65,        13,
      79.7,        16,
     79.75,         7,
      79.8,        14,
     79.85,         9,
      79.9,        10,
     79.95,        14,
        80,        15,
     80.05,        14,
      80.1,        14,
     80.15,        13,
      80.2,         6,
     80.25,         8,
      80.3,        12,
     80.35,        18,
      80.4,        17,
     80.45,        15,
      80.5,         9,
     80.55,        12,
      80.6,        14,
     80.65,        12,
      80.7,        22,
     80.75,        19,
      80.8,        29,
     80.85,        18,
      80.9,        16,
     80.95,        13,
        81,        14,
     81.05,        20,
      81.1,        14,
     81.15,        13,
      81.2,        15,
     81.25,        15,
      81.3,        11,
     81.35,        17,
      81.4,        16,
     81.45,        13,
      81.5,        10,
     81.55,        16,
      81.6,        11,
     81.65,        13,
      81.7,        15,
     81.75,        11,
      81.8,        13,
     81.85,        19,
      81.9,        14,
     81.95,        11,
        82,         9,
     82.05,        19,
      82.1,        21,
     82.15,        22,
      82.2,        23,
     82.25,        25,
      82.3,        19,
     82.35,        24,
      82.4,        23,
     82.45,        20,
      82.5,        14,
     82.55,        36,
      82.6,        44,
     82.65,        82,
      82.7,        78,
     82.75,        81,
      82.8,        56,
     82.85,        41,
      82.9,        37,
     82.95,        59,
        83,        40,
     83.05,        38,
      83.1,        37,
